f1 training,f1 test,Balanced ACC train,Balanced ACC test,Algorithm,Sampling Strategy
1.0,0.7188734548234995,1.0,0.7075925925925926,ada_boost_,ADASYN
1.0,0.7509206479794716,1.0,0.7205555555555556,ada_boost_,BORDERLINE
1.0,0.7450067174205105,1.0,0.7155555555555555,ada_boost_,RANDOM
1.0,0.7353368267073852,1.0,0.7140740740740741,ada_boost_,SMOTE
0.7656086307087066,0.7852459996413127,0.7375934579439252,0.7625925925925926,ada_boost_,STANDARD
1.0,0.6976445383525031,1.0,0.6755555555555556,ada_boost_,SVM
0.7553736992365824,0.7687705674683429,0.7415537383177571,0.7561111111111112,ada_boost_,UNDER
0.8578925579043315,0.7642955003188353,0.8691939252336449,0.7638888888888888,gradient_boosting,ADASYN
0.8446579437623368,0.7566147932527243,0.8483294392523364,0.7461111111111112,gradient_boosting,BORDERLINE
0.8732553283072093,0.7202965337607694,0.8773481308411215,0.7203703703703703,gradient_boosting,RANDOM
0.8521512909519111,0.7761139384176035,0.8513200934579439,0.7696296296296297,gradient_boosting,SMOTE
0.8649686230641882,0.7389951134515556,0.8357359813084112,0.6985185185185185,gradient_boosting,STANDARD
0.8559867551061721,0.7519283616844591,0.8625116822429907,0.7538888888888888,gradient_boosting,SVM
0.7960260356037918,0.7457241216006995,0.8052336448598131,0.7488888888888889,gradient_boosting,UNDER
0.7457722547150675,0.7326570837940484,0.740408878504673,0.7303703703703703,logistic_regression_,ADASYN
0.7464193116019743,0.7332667332667332,0.7469275700934579,0.7388888888888889,logistic_regression_,BORDERLINE
0.7616295500749326,0.7694245409762651,0.7476401869158878,0.7603703703703704,logistic_regression_,RANDOM
0.7555540553464639,0.7694245409762651,0.7426401869158878,0.7603703703703704,logistic_regression_,SMOTE
0.7621402750293907,0.7641125862030235,0.7205373831775701,0.7227777777777777,logistic_regression_,STANDARD
0.7520422553871254,0.7449571704890854,0.7464953271028038,0.7403703703703703,logistic_regression_,SVM
0.7555540553464639,0.775522742632452,0.7426401869158878,0.7653703703703704,logistic_regression_,UNDER
1.0,0.7816166470534349,1.0,0.7703703703703704,random_forest_,ADASYN
0.9983722145259571,0.7680227935329977,0.99875,0.7518518518518519,random_forest_,BORDERLINE
1.0,0.7422475483699973,1.0,0.7233333333333334,random_forest_,RANDOM
1.0,0.7498681989333037,1.0,0.7368518518518519,random_forest_,SMOTE
1.0,0.7509206479794716,1.0,0.7205555555555556,random_forest_,STANDARD
1.0,0.7694245409762651,1.0,0.7603703703703704,random_forest_,SVM
0.8339061238946274,0.7646499841621792,0.8417523364485981,0.7681481481481481,random_forest_,UNDER
1.0,0.6508698674597292,1.0,0.6001851851851852,svc_,ADASYN
1.0,0.656261170022638,1.0,0.6051851851851852,svc_,BORDERLINE
1.0,0.656261170022638,1.0,0.6051851851851852,svc_,RANDOM
1.0,0.656261170022638,1.0,0.6051851851851852,svc_,SMOTE
0.8535591465618972,0.7539924190641895,0.8311682242990655,0.717037037037037,svc_,STANDARD
1.0,0.6672577235217895,1.0,0.6187037037037036,svc_,SVM
0.7775605480797947,0.7638530159538561,0.7644859813084113,0.7596296296296297,svc_,UNDER
1.0,0.7353368267073852,1.0,0.7140740740740741,xgboost_,ADASYN
1.0,0.737733470717764,1.0,0.7268518518518519,xgboost_,BORDERLINE
1.0,0.7430784082981587,1.0,0.7275925925925926,xgboost_,RANDOM
1.0,0.7619754876392045,1.0,0.7468518518518519,xgboost_,SMOTE
0.9983704450481075,0.72016902983565,0.9976635514018692,0.6912962962962963,xgboost_,STANDARD
1.0,0.7302323287130666,1.0,0.7133333333333334,xgboost_,SVM
0.8208764715517525,0.7522111986374281,0.8241471962616822,0.7581481481481481,xgboost_,UNDER
